part_name,pixel_count,part_total_value,highest_value,average_value,total_percentage
Bumper,82655,3095258,180,37.44792,9.583939
Bumper_Rear,121050,14469,79,0.1195291,0.04480079
Central_Back_Light,2332,0,0,0,0
Cowl_Cover,7411,662,58,0.08932668,0.00204977
Door_Handle_Front_Left,2796,10,1,0.003576538,3.09633E-05
Door_Handle_Front_Right,2843,27902,159,9.814281,0.08639379
Door_Handle_Rear_Left,2825,10,1,0.003539823,3.09633E-05
Door_Handle_Rear_Right,2750,22786,147,8.285818,0.07055297
Door_Front_Left,89386,740,1,0.008278701,0.002291284
Door_Front_Right,89642,1986597,152,22.16145,6.151159
Door_Rear_Left,49415,674,1,0.01363958,0.002086926
Door_Rear_Right,48939,1582064,140,32.32726,4.898592
Fender_Front_Left,29422,228472,157,7.765346,0.7074246
Fender_Front_Right,29195,1502218,181,51.45463,4.651362
Fender_Rear_Left,68636,799,1,0.01164112,0.002473967
Fender_Rear_Right,68969,1486650,148,21.55534,4.603158
Front_Tire_Left,199400,469537,161,2.354749,1.453841
Front_Tire_Right,199135,1539949,170,7.733191,4.768189
Grill,49625,2474255,175,49.85904,7.661109
Headlight_Left,18163,150286,132,8.274294,0.465335
Headlight_Right,18261,531741,180,29.11894,1.646445
Hood,133313,3649823,189,27.37785,11.30105
License_Plate_Area_Front,6849,235982,177,34.45496,0.730678
License_Plate_Area_Rear,3182,0,0,0,0
Low_Fender_Rear_Left,24542,184,1,0.007497352,0.0005697247
Low_Fender_Rear_Right,32024,342437,139,10.69314,1.060298
Lower_Reflector_Front,19244,798457,172,41.49122,2.472286
Mud_Flap_Rear_Left,18052,846,5,0.04686461,0.002619495
Mud_Flap_Rear_Right,17683,162897,141,9.212069,0.5043828
Mud_Flap_Front_Left,17899,1699,29,0.09492151,0.005260664
Mud_Flap_Front_Right,18429,272106,156,14.7651,0.8425298
Rear_Panel,26431,0,0,0,0
Rear_Panel_Rail_Left,4148,0,0,0,0
Rear_Panel_Rail_Right,4335,711,5,0.1640138,0.00220149
Rim_Rear_Left,163814,9822,10,0.05995825,0.03041215
Rim_Rear_Right,166036,328913,143,1.980974,1.018423
Rim_Front_Left,157796,155743,129,0.9869896,0.4822316
Rim_Front_Right,158398,753684,170,4.758166,2.333654
Rocker_Panel_Left,50223,205,1,0.004081795,0.0006347476
Rocker_Panel_Right,49744,422628,101,8.496059,1.308596
Roof,324785,1491759,145,4.593066,4.618978
Side_Mirror_Left,17758,127155,149,7.160435,0.3937138
Side_Mirror_Right,17467,455528,167,26.07935,1.410465
Step_Bar_Left,49438,160,1,0.003236377,0.0004954127
Step_Bar_Right,50056,513076,151,10.25004,1.588652
Tailgate,124542,41006,113,0.3292544,0.1269681
Tail_Light_Left,19469,35,1,0.00179773,0.0001083715
Tail_Light_Right,19929,48797,128,2.448542,0.1510916
Tire_Rear_Left,204096,15703,18,0.07693928,0.04862166
Tire_Rear_Right,205573,851031,145,4.1398,2.635072
Trailer_Hitch,28855,65,3,0.002252643,0.0002012614
Truck_Bed,275000,290,4,0.001054545,0.0008979356
Truck_Bed_Rim,21550,19411,13,0.9007425,0.06010285
Truck_Chest,273960,166501,147,0.6077566,0.515542
Wheelhouse_Rear_Left,32884,166,1,0.005048048,0.0005139907
Wheelhouse_Rear_Right,32855,256075,142,7.794095,0.7928926
Wheelhouse_Front_Left,25858,3579,49,0.1384098,0.01108176
Wheelhouse_Front_Right,26154,445195,180,17.02206,1.37847
Wheel_Hub_Rear_Left,12942,0,0,0,0
Wheel_Hub_Rear_Right,12831,435,4,0.03390227,0.001346903
Window_Front_Left,22911,302,2,0.01318144,0.0009350915
Window_Front_Right,22855,906235,112,39.6515,2.806002
Windshield,48970,3070682,156,62.70537,9.507843
Windshield_Rail_Front_Left,9731,161946,143,16.64228,0.5014382
Windshield_Rail_Front_Right,10218,402265,159,39.36827,1.245545
Window_Rear_Left,21811,307,1,0.01407547,0.0009505732
Window_Rear_Right,21507,903325,97,42.00144,2.796992
Others,2849800,164059,133,0.0575686,0.5079807
