part_name,pixel_count,part_total_value,highest_value,average_value,total_percentage
Bumper,82655,778682,70,9.42087,13.45622
Bumper_Rear,121050,3943,11,0.03257332,0.06813806
Central_Back_Light,2332,0,0,0,0
Cowl_Cover,7411,6,2,0.0008096073,0.0001036846
Door_Handle_Front_Left,2796,2541,43,0.9087983,0.04391042
Door_Handle_Front_Right,2843,1033,11,0.3633486,0.01785103
Door_Handle_Rear_Left,2825,2409,39,0.8527434,0.04162936
Door_Handle_Rear_Right,2750,1089,15,0.396,0.01881875
Door_Front_Left,89386,148827,43,1.664992,2.571844
Door_Front_Right,89642,87354,16,0.9744763,1.509544
Door_Rear_Left,49415,123280,42,2.494789,2.130373
Door_Rear_Right,48939,83511,13,1.70643,1.443134
Fender_Front_Left,29422,188581,66,6.409523,3.258824
Fender_Front_Right,29195,140031,72,4.796403,2.419843
Fender_Rear_Left,68636,132555,43,1.931275,2.290652
Fender_Rear_Right,68969,112939,18,1.637533,1.951672
Front_Tire_Left,199400,205997,58,1.033084,3.559786
Front_Tire_Right,199135,156825,61,0.7875311,2.710056
Grill,49625,600165,82,12.094,10.37131
Headlight_Left,18163,87633,61,4.824809,1.514365
Headlight_Right,18261,74612,68,4.085866,1.289352
Hood,133313,421154,62,3.159137,7.277863
License_Plate_Area_Front,6849,64492,67,9.416265,1.114471
License_Plate_Area_Rear,3182,0,0,0,0
Low_Fender_Rear_Left,24542,32265,42,1.314685,0.5575638
Low_Fender_Rear_Right,32024,28216,17,0.8810892,0.487594
Lower_Reflector_Front,19244,216195,68,11.23441,3.736015
Mud_Flap_Rear_Left,18052,25583,42,1.417184,0.4420938
Mud_Flap_Rear_Right,17683,12434,32,0.7031612,0.214869
Mud_Flap_Front_Left,17899,34641,51,1.935359,0.598623
Mud_Flap_Front_Right,18429,14971,40,0.8123609,0.2587103
Rear_Panel,26431,0,0,0,0
Rear_Panel_Rail_Left,4148,0,0,0,0
Rear_Panel_Rail_Right,4335,1113,8,0.2567474,0.01923349
Rim_Rear_Left,163814,50841,45,0.3103581,0.8785713
Rim_Rear_Right,166036,51052,27,0.3074755,0.8822176
Rim_Front_Left,157796,65928,60,0.4178053,1.139286
Rim_Front_Right,158398,60349,33,0.380996,1.042877
Rocker_Panel_Left,50223,42257,19,0.8413874,0.7302333
Rocker_Panel_Right,49744,23294,11,0.4682776,0.4025381
Roof,324785,202038,44,0.6220669,3.491371
Side_Mirror_Left,17758,77503,56,4.364399,1.339311
Side_Mirror_Right,17467,49194,53,2.816397,0.8501099
Step_Bar_Left,49438,29738,42,0.6015211,0.5138954
Step_Bar_Right,50056,17227,15,0.3441545,0.2976957
Tailgate,124542,4931,9,0.03959307,0.08521145
Tail_Light_Left,19469,6265,37,0.3217936,0.108264
Tail_Light_Right,19929,5967,15,0.2994129,0.1031143
Tire_Rear_Left,204096,129736,43,0.6356617,2.241937
Tire_Rear_Right,205573,90645,43,0.4409383,1.566415
Trailer_Hitch,28855,944,7,0.0327153,0.01631304
Truck_Bed,275000,2115,9,0.007690909,0.03654882
Truck_Bed_Rim,21550,780,3,0.03619489,0.013479
Truck_Chest,273960,22442,22,0.08191707,0.3878149
Wheelhouse_Rear_Left,32884,36071,40,1.096916,0.6233345
Wheelhouse_Rear_Right,32855,17544,15,0.5339826,0.3031737
Wheelhouse_Front_Left,25858,47242,52,1.826978,0.8163779
Wheelhouse_Front_Right,26154,21758,48,0.8319187,0.3759949
Wheel_Hub_Rear_Left,12942,0,0,0,0
Wheel_Hub_Rear_Right,12831,1581,7,0.1232172,0.02732089
Window_Front_Left,22911,56334,18,2.458819,0.9734946
Window_Front_Right,22855,39340,13,1.721286,0.6798253
Windshield,48970,576115,47,11.76465,9.955708
Windshield_Rail_Front_Left,9731,52297,42,5.374268,0.9037321
Windshield_Rail_Front_Right,10218,41211,40,4.033177,0.7121576
Window_Rear_Left,21811,29867,13,1.369355,0.5161246
Window_Rear_Right,21507,40079,14,1.863533,0.6925958
Others,2849800,111019,59,0.03895677,1.918493
