part_name,pixel_count,part_total_value,highest_value,average_value,total_percentage
Bumper,82655,974368,87,11.78837,12.02584
Bumper_Rear,121050,5453,32,0.0450475,0.06730197
Central_Back_Light,2332,0,0,0,0
Cowl_Cover,7411,3,1,0.0004048037,3.702658E-05
Door_Handle_Front_Left,2796,0,0,0,0
Door_Handle_Front_Right,2843,5342,71,1.879001,0.06593199
Door_Handle_Rear_Left,2825,0,0,0,0
Door_Handle_Rear_Right,2750,5133,65,1.866545,0.06335247
Door_Front_Left,89386,0,0,0,0
Door_Front_Right,89642,375150,68,4.18498,4.630174
Door_Rear_Left,49415,0,0,0,0
Door_Rear_Right,48939,336006,65,6.865813,4.147051
Fender_Front_Left,29422,85538,59,2.90728,1.055727
Fender_Front_Right,29195,359132,105,12.30115,4.432477
Fender_Rear_Left,68636,150,2,0.002185442,0.001851329
Fender_Rear_Right,68969,386771,63,5.607896,4.773602
Front_Tire_Left,199400,170841,71,0.8567753,2.108552
Front_Tire_Right,199135,343524,80,1.725081,4.23984
Grill,49625,773224,89,15.58134,9.54328
Headlight_Left,18163,67278,80,3.704124,0.830358
Headlight_Right,18261,138945,90,7.608839,1.714886
Hood,133313,677068,113,5.078784,8.356503
License_Plate_Area_Front,6849,82718,82,12.07738,1.020921
License_Plate_Area_Rear,3182,0,0,0,0
Low_Fender_Rear_Left,24542,0,0,0,0
Low_Fender_Rear_Right,32024,90779,58,2.834718,1.120412
Lower_Reflector_Front,19244,274805,83,14.28004,3.391696
Mud_Flap_Rear_Left,18052,1548,7,0.08575227,0.01910571
Mud_Flap_Rear_Right,17683,55097,63,3.115818,0.6800178
Mud_Flap_Front_Left,17899,5187,57,0.2897927,0.06401896
Mud_Flap_Front_Right,18429,72963,78,3.959141,0.9005234
Rear_Panel,26431,0,0,0,0
Rear_Panel_Rail_Left,4148,0,0,0,0
Rear_Panel_Rail_Right,4335,801,4,0.1847751,0.009886096
Rim_Rear_Left,163814,14326,14,0.08745284,0.1768143
Rim_Rear_Right,166036,100373,71,0.6045255,1.238823
Rim_Front_Left,157796,66309,53,0.4202198,0.8183985
Rim_Front_Right,158398,135267,92,0.8539691,1.669491
Rocker_Panel_Left,50223,0,0,0,0
Rocker_Panel_Right,49744,94465,32,1.899023,1.165905
Roof,324785,318431,55,0.9804363,3.930137
Side_Mirror_Left,17758,39970,63,2.250817,0.4933175
Side_Mirror_Right,17467,124645,88,7.136028,1.538393
Step_Bar_Left,49438,0,0,0,0
Step_Bar_Right,50056,82284,63,1.643839,1.015565
Tailgate,124542,3780,32,0.03035121,0.04665349
Tail_Light_Left,19469,0,0,0,0
Tail_Light_Right,19929,15866,45,0.7961262,0.1958212
Tire_Rear_Left,204096,33144,45,0.1623942,0.4090696
Tire_Rear_Right,205573,242056,61,1.17747,2.987502
Trailer_Hitch,28855,456,4,0.01580315,0.00562804
Truck_Bed,275000,237,3,0.0008618182,0.0029251
Truck_Bed_Rim,21550,1621,4,0.07522042,0.02000669
Truck_Chest,273960,40814,59,0.148978,0.5037342
Wheelhouse_Rear_Left,32884,2,1,6.081985E-05,2.468438E-05
Wheelhouse_Rear_Right,32855,79150,78,2.40907,0.9768845
Wheelhouse_Front_Left,25858,1976,39,0.07641736,0.02438817
Wheelhouse_Front_Right,26154,100229,81,3.832263,1.237046
Wheel_Hub_Rear_Left,12942,0,0,0,0
Wheel_Hub_Rear_Right,12831,1073,8,0.08362559,0.01324317
Window_Front_Left,22911,15,3,0.0006547074,0.0001851329
Window_Front_Right,22855,156820,32,6.861518,1.935503
Windshield,48970,787178,63,16.0747,9.715503
Windshield_Rail_Front_Left,9731,41100,55,4.223615,0.5072641
Windshield_Rail_Front_Right,10218,90169,59,8.824525,1.112883
Window_Rear_Left,21811,0,0,0,0
Window_Rear_Right,21507,150344,31,6.990468,1.855575
Others,2849800,92364,69,0.0324107,1.139974
