part_name,pixel_count,part_total_value,highest_value,average_value,total_percentage
Bumper,82655,1107052,126,13.39365,6.552286
Bumper_Rear,121050,26595,66,0.2197026,0.1574073
Central_Back_Light,2332,0,0,0,0
Cowl_Cover,7411,36,16,0.004857644,0.0002130725
Door_Handle_Front_Left,2796,15241,97,5.451002,0.0902066
Door_Handle_Front_Right,2843,187,5,0.06577559,0.001106793
Door_Handle_Rear_Left,2825,14835,91,5.251328,0.08780362
Door_Handle_Rear_Right,2750,116,4,0.04218182,0.0006865669
Door_Front_Left,89386,1396258,98,15.62054,8.264004
Door_Front_Right,89642,18562,6,0.2070681,0.1098625
Door_Rear_Left,49415,1256779,97,25.43315,7.438472
Door_Rear_Right,48939,7947,5,0.1623858,0.04703575
Fender_Front_Left,29422,905150,129,30.76439,5.357293
Fender_Front_Right,29195,61238,50,2.097551,0.3624481
Fender_Rear_Left,68636,1355652,70,19.75133,8.02367
Fender_Rear_Right,68969,10009,7,0.1451232,0.05924007
Front_Tire_Left,199400,796271,119,3.993335,4.712873
Front_Tire_Right,199135,191670,96,0.9625129,1.134433
Grill,49625,807044,115,16.26285,4.776635
Headlight_Left,18163,229394,132,12.62974,1.35771
Headlight_Right,18261,30343,36,1.661629,0.1795905
Hood,133313,999250,128,7.495518,5.914241
License_Plate_Area_Front,6849,77854,117,11.36721,0.4607929
License_Plate_Area_Rear,3182,0,0,0,0
Low_Fender_Rear_Left,24542,348391,65,14.19571,2.062015
Low_Fender_Rear_Right,32024,2659,6,0.08303148,0.01573777
Lower_Reflector_Front,19244,288886,112,15.01174,1.709824
Mud_Flap_Rear_Left,18052,137405,64,7.611622,0.8132562
Mud_Flap_Rear_Right,17683,11089,47,0.6270995,0.06563224
Mud_Flap_Front_Left,17899,184661,69,10.31683,1.092949
Mud_Flap_Front_Right,18429,8576,34,0.4653535,0.0507586
Rear_Panel,26431,0,0,0,0
Rear_Panel_Rail_Left,4148,14926,30,3.598361,0.08834221
Rear_Panel_Rail_Right,4335,23,2,0.005305652,0.0001361296
Rim_Rear_Left,163814,336398,104,2.053536,1.991032
Rim_Rear_Right,166036,132019,65,0.7951227,0.7813781
Rim_Front_Left,157796,515810,126,3.268841,3.052914
Rim_Front_Right,158398,177488,90,1.120519,1.050495
Rocker_Panel_Left,50223,360651,77,7.180993,2.134578
Rocker_Panel_Right,49744,4095,4,0.08232149,0.02423699
Roof,324785,502233,77,1.546355,2.972556
Side_Mirror_Left,17758,231152,109,13.01678,1.368115
Side_Mirror_Right,17467,15599,33,0.8930555,0.09232549
Step_Bar_Left,49438,262143,109,5.30246,1.55154
Step_Bar_Right,50056,2863,7,0.05719594,0.01694518
Tailgate,124542,32109,41,0.2578166,0.1900429
Tail_Light_Left,19469,56186,88,2.885921,0.3325469
Tail_Light_Right,19929,335,3,0.01680967,0.001982758
Tire_Rear_Left,204096,545521,105,2.672865,3.228764
Tire_Rear_Right,205573,102302,78,0.4976432,0.6054928
Trailer_Hitch,28855,1966,26,0.06813377,0.01163612
Truck_Bed,275000,2449,20,0.008905455,0.01449485
Truck_Bed_Rim,21550,2876,5,0.1334571,0.01702212
Truck_Chest,273960,133211,66,0.4862425,0.7884333
Wheelhouse_Rear_Left,32884,215478,96,6.55267,1.275345
Wheelhouse_Rear_Right,32855,1899,7,0.05779942,0.01123957
Wheelhouse_Front_Left,25858,257569,121,9.960902,1.524468
Wheelhouse_Front_Right,26154,11056,11,0.4227269,0.06543692
Wheel_Hub_Rear_Left,12942,11943,53,0.9228095,0.07068679
Wheel_Hub_Rear_Right,12831,42,4,0.003273322,0.0002485845
Window_Front_Left,22911,630434,74,27.51665,3.731337
Window_Front_Right,22855,7522,10,0.3291183,0.04452031
Windshield,48970,844312,80,17.24141,4.997212
Windshield_Rail_Front_Left,9731,163751,93,16.82777,0.9691897
Windshield_Rail_Front_Right,10218,30828,63,3.017029,0.1824611
Window_Rear_Left,21811,606128,67,27.79001,3.587477
Window_Rear_Right,21507,3682,4,0.1712001,0.02179258
Others,2849800,389512,81,0.1366805,2.305397
