part_name,pixel_count,part_total_value,highest_value,average_value,total_percentage
Bumper,82655,3095258,180,37.44792,9.583939
Bumper_Rear,121050,14469,79,0.1195291,0.04480079
Central_Back_Light,2332,0,0,0,0
Cowl_Cover,7411,662,58,0.08932668,0.00204977
Door_Handle_Front,5639,27912,159,4.949814,0.08642475
Door_Handle_Rear,5575,22796,147,4.088969,0.07058392
Door_Front,179028,1987337,152,11.10071,6.15345
Door_Rear,98354,1582738,140,16.09226,4.900679
Fender_Front,58617,1730690,181,29.52539,5.358787
Fender_Rear,137605,1487449,148,10.80956,4.605632
Front_Tire,398535,2009486,170,5.042182,6.222031
Grill,49625,2474255,175,49.85904,7.661109
Headlight,36424,682027,180,18.72466,2.11178
Hood,133313,3649823,189,27.37785,11.30105
License_Plate_Area_Front,6849,235982,177,34.45496,0.730678
License_Plate_Area_Rear,3182,0,0,0,0
Low_Fender_Rear,56566,342621,139,6.057013,1.060868
Lower_Reflector_Front,19244,798457,172,41.49122,2.472286
Mud_Flap_Rear,35735,163743,141,4.582146,0.5070023
Mud_Flap_Front,36328,273805,156,7.537024,0.8477905
Rear_Panel,26431,0,0,0,0
Rear_Panel_Rail,8483,711,5,0.08381469,0.00220149
Rim_Rear,329850,338735,143,1.026937,1.048835
Rim_Front,316194,909427,170,2.876168,2.815886
Rocker_Panel,99967,422833,101,4.229726,1.30923
Roof,324785,1491759,145,4.593066,4.618978
Side_Mirror,35225,582683,167,16.54175,1.804179
Step_Bar,99494,513236,151,5.158462,1.589148
Tailgate,124542,41006,113,0.3292544,0.1269681
Tail_Light,39398,48832,128,1.239454,0.1512
Tire_Rear,409669,866734,145,2.115693,2.683694
Trailer_Hitch,28855,65,3,0.002252643,0.000201261
Truck_Bed,275000,290,4,0.001054545,0.000897936
Truck_Bed_Rim,21550,19411,13,0.9007425,0.06010285
Truck_Chest,273960,166501,147,0.6077566,0.515542
Wheelhouse_Rear,65739,256241,142,3.897854,0.7934066
Wheelhouse_Front,52012,448774,180,8.628278,1.389552
Wheel_Hub_Rear,25773,435,4,0.01687813,0.001346903
Window_Front,45766,906537,112,19.80809,2.806937
Windshield,48970,3070682,156,62.70537,9.507843
Windshield_Rail_Front,19949,564211,159,28.28267,1.746983
Window_Rear,43318,903632,97,20.86043,2.797942
Others,2849800,164059,133,0.0575686,0.5079807
