part_name,pixel_count,part_total_value,highest_value,average_value,total_percentage
Bumper,82655,778682,70,9.42087,13.45622
Bumper_Rear,121050,3943,11,0.03257332,0.06813806
Central_Back_Light,2332,0,0,0,0
Cowl_Cover,7411,6,2,0.000809607,0.000103685
Door_Handle_Front,5639,3574,43,0.6338003,0.06176145
Door_Handle_Rear,5575,3498,39,0.627444,0.06044811
Door_Front,179028,236181,43,1.319241,4.081388
Door_Rear,98354,206791,42,2.102517,3.573507
Fender_Front,58617,328612,72,5.606087,5.678667
Fender_Rear,137605,245494,43,1.784049,4.242324
Front_Tire,398535,362822,61,0.9103893,6.269842
Grill,49625,600165,82,12.094,10.37131
Headlight,36424,162245,68,4.454343,2.803718
Hood,133313,421154,62,3.159137,7.277863
License_Plate_Area_Front,6849,64492,67,9.416265,1.114471
License_Plate_Area_Rear,3182,0,0,0,0
Low_Fender_Rear,56566,60481,42,1.069211,1.045158
Lower_Reflector_Front,19244,216195,68,11.23441,3.736015
Mud_Flap_Rear,35735,38017,42,1.063859,0.6569628
Mud_Flap_Front,36328,49612,51,1.365668,0.8573333
Rear_Panel,26431,0,0,0,0
Rear_Panel_Rail,8483,1113,8,0.1312036,0.01923349
Rim_Rear,329850,101893,45,0.3089071,1.760789
Rim_Front,316194,126277,60,0.3993656,2.182163
Rocker_Panel,99967,65551,19,0.6557264,1.132771
Roof,324785,202038,44,0.6220669,3.491371
Side_Mirror,35225,126697,56,3.596792,2.189421
Step_Bar,99494,46965,42,0.4720385,0.8115911
Tailgate,124542,4931,9,0.03959307,0.08521145
Tail_Light,39398,12232,37,0.3104726,0.2113783
Tire_Rear,409669,220381,43,0.5379489,3.808352
Trailer_Hitch,28855,944,7,0.0327153,0.01631304
Truck_Bed,275000,2115,9,0.007690909,0.03654882
Truck_Bed_Rim,21550,780,3,0.03619489,0.013479
Truck_Chest,273960,22442,22,0.08191707,0.3878149
Wheelhouse_Rear,65739,53615,40,0.8155737,0.9265082
Wheelhouse_Front,52012,69000,52,1.326617,1.192373
Wheel_Hub_Rear,25773,1581,7,0.06134327,0.02732089
Window_Front,45766,95674,18,2.090504,1.65332
Windshield,48970,576115,47,11.76465,9.955708
Windshield_Rail_Front,19949,93508,42,4.687353,1.61589
Window_Rear,43318,69946,14,1.61471,1.20872
Others,2849800,111019,59,0.03895677,1.918493
