part_name,pixel_count,part_total_value,highest_value,average_value,total_percentage
Bumper,82655,974368,87,11.78837,12.02584
Bumper_Rear,121050,5453,32,0.0450475,0.06730197
Central_Back_Light,2332,0,0,0,0
Cowl_Cover,7411,3,1,0.000404804,3.70E-05
Door_Handle_Front,5639,5342,71,0.9473311,0.06593199
Door_Handle_Rear,5575,5133,65,0.9207175,0.06335247
Door_Front,179028,375150,68,2.095482,4.630174
Door_Rear,98354,336006,65,3.416292,4.147051
Fender_Front,58617,444670,105,7.586025,5.488203
Fender_Rear,137605,386921,63,2.811824,4.775454
Front_Tire,398535,514365,80,1.29064,6.348392
Grill,49625,773224,89,15.58134,9.54328
Headlight,36424,206223,90,5.661734,2.545244
Hood,133313,677068,113,5.078784,8.356503
License_Plate_Area_Front,6849,82718,82,12.07738,1.020921
License_Plate_Area_Rear,3182,0,0,0,0
Low_Fender_Rear,56566,90779,58,1.604833,1.120412
Lower_Reflector_Front,19244,274805,83,14.28004,3.391696
Mud_Flap_Rear,35735,56645,63,1.585141,0.6991235
Mud_Flap_Front,36328,78150,78,2.151233,0.9645424
Rear_Panel,26431,0,0,0,0
Rear_Panel_Rail,8483,801,4,0.09442414,0.009886096
Rim_Rear,329850,114699,71,0.3477308,1.415637
Rim_Front,316194,201576,92,0.6375074,2.48789
Rocker_Panel,99967,94465,32,0.9449618,1.165905
Roof,324785,318431,55,0.9804363,3.930137
Side_Mirror,35225,164615,88,4.673244,2.03171
Step_Bar,99494,82284,63,0.8270248,1.015565
Tailgate,124542,3780,32,0.03035121,0.04665349
Tail_Light,39398,15866,45,0.4027108,0.1958212
Tire_Rear,409669,275200,61,0.6717618,3.396571
Trailer_Hitch,28855,456,4,0.01580315,0.00562804
Truck_Bed,275000,237,3,0.000861818,0.0029251
Truck_Bed_Rim,21550,1621,4,0.07522042,0.02000669
Truck_Chest,273960,40814,59,0.148978,0.5037342
Wheelhouse_Rear,65739,79152,78,1.204034,0.9769092
Wheelhouse_Front,52012,102205,81,1.965027,1.261434
Wheel_Hub_Rear,25773,1073,8,0.04163272,0.01324317
Window_Front,45766,156835,32,3.426889,1.935688
Windshield,48970,787178,63,16.0747,9.715503
Windshield_Rail_Front,19949,131269,59,6.58023,1.620147
Window_Rear,43318,150344,31,3.470705,1.855575
Others,2849800,92364,69,0.0324107,1.139974
