part_name,pixel_count,part_total_value,highest_value,average_value,total_percentage
Bumper,82655,1107052,126,13.39365,6.552286
Bumper_Rear,121050,26595,66,0.2197026,0.1574073
Central_Back_Light,2332,0,0,0,0
Cowl_Cover,7411,36,16,0.004857644,0.000213073
Door_Handle_Front,5639,15428,97,2.735946,0.09131339
Door_Handle_Rear,5575,14951,91,2.681794,0.08849018
Door_Front,179028,1414820,98,7.902786,8.373866
Door_Rear,98354,1264726,97,12.85892,7.485508
Fender_Front,58617,966388,129,16.48648,5.719741
Fender_Rear,137605,1365661,70,9.924501,8.08291
Front_Tire,398535,987941,119,2.478932,5.847306
Grill,49625,807044,115,16.26285,4.776635
Headlight,36424,259737,132,7.13093,1.5373
Hood,133313,999250,128,7.495518,5.914241
License_Plate_Area_Front,6849,77854,117,11.36721,0.4607929
License_Plate_Area_Rear,3182,0,0,0,0
Low_Fender_Rear,56566,351050,65,6.206025,2.077753
Lower_Reflector_Front,19244,288886,112,15.01174,1.709824
Mud_Flap_Rear,35735,148494,64,4.155422,0.8788884
Mud_Flap_Front,36328,193237,69,5.319231,1.143708
Rear_Panel,26431,0,0,0,0
Rear_Panel_Rail,8483,14949,30,1.76223,0.08847834
Rim_Rear,329850,468417,104,1.420091,2.77241
Rim_Front,316194,693298,126,2.192635,4.103409
Rocker_Panel,99967,364746,77,3.648664,2.158815
Roof,324785,502233,77,1.546355,2.972556
Side_Mirror,35225,246751,109,7.004996,1.46044
Step_Bar,99494,265006,109,2.663538,1.568486
Tailgate,124542,32109,41,0.2578166,0.1900429
Tail_Light,39398,56521,88,1.434616,0.3345297
Tire_Rear,409669,647823,105,1.581333,3.834257
Trailer_Hitch,28855,1966,26,0.06813377,0.01163612
Truck_Bed,275000,2449,20,0.008905455,0.01449485
Truck_Bed_Rim,21550,2876,5,0.1334571,0.01702212
Truck_Chest,273960,133211,66,0.4862425,0.7884333
Wheelhouse_Rear,65739,217377,96,3.306667,1.286585
Wheelhouse_Front,52012,268625,121,5.164673,1.589905
Wheel_Hub_Rear,25773,11985,53,0.4650215,0.07093538
Window_Front,45766,637956,74,13.93952,3.775857
Windshield,48970,844312,80,17.24141,4.997212
Windshield_Rail_Front,19949,194579,93,9.753822,1.151651
Window_Rear,43318,609810,67,14.07752,3.60927
Others,2849800,389512,81,0.1366805,2.305397
